Facility Name,State,Condition,Excess Ratio,Predicted Rate,Expected Rate,Number of Readmissions,Variance,Above/Below National Flag
SOUTHEAST HEALTH MEDICAL CENTER,AL,READM-30-AMI-HRRP,0.9483,13.0146,13.7235,36,-0.7089,At/Below National
SOUTHEAST HEALTH MEDICAL CENTER,AL,READM-30-CABG-HRRP,0.9509,9.6899,10.1898,13,-0.4999,At/Below National
SOUTHEAST HEALTH MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0597,21.5645,20.3495,151,1.215,Above National
SOUTHEAST HEALTH MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9715,16.1137,16.5863,77,-0.4726,At/Below National
SOUTHEAST HEALTH MEDICAL CENTER,AL,READM-30-COPD-HRRP,0.933,15.4544,16.5637,16,-1.1093,At/Below National
MARSHALL MEDICAL CENTERS,AL,READM-30-HF-HRRP,0.9935,20.1511,20.2835,35,-0.1324,At/Below National
MARSHALL MEDICAL CENTERS,AL,READM-30-PN-HRRP,0.8495,13.3621,15.7296,30,-2.3675,At/Below National
MARSHALL MEDICAL CENTERS,AL,READM-30-COPD-HRRP,0.8696,15.5737,17.909,14,-2.3353,At/Below National
NORTH ALABAMA MEDICAL CENTER,AL,READM-30-COPD-HRRP,0.9463,17.788,18.7982,24,-1.0102,At/Below National
NORTH ALABAMA MEDICAL CENTER,AL,READM-30-HF-HRRP,0.9666,19.1704,19.8318,95,-0.6614,At/Below National
NORTH ALABAMA MEDICAL CENTER,AL,READM-30-AMI-HRRP,0.9704,11.875,12.2373,36,-0.3623,At/Below National
NORTH ALABAMA MEDICAL CENTER,AL,READM-30-CABG-HRRP,1.0846,12.3902,11.4233,14,0.9669,Above National
NORTH ALABAMA MEDICAL CENTER,AL,READM-30-PN-HRRP,1.0112,16.7862,16.6008,105,0.1854,Above National
MIZELL MEMORIAL HOSPITAL,AL,READM-30-HF-HRRP,1.0674,21.0944,19.7621,12,1.3323,Above National
MIZELL MEMORIAL HOSPITAL,AL,READM-30-PN-HRRP,1.0488,16.2187,15.4636,17,0.7551,Above National
ST. VINCENT'S EAST,AL,READM-30-COPD-HRRP,1.012,17.7252,17.5152,11,0.21,Above National
ST. VINCENT'S EAST,AL,READM-30-AMI-HRRP,0.9675,11.8541,12.2521,16,-0.398,At/Below National
ST. VINCENT'S EAST,AL,READM-30-PN-HRRP,1.0589,17.1812,16.2255,63,0.9557,Above National
ST. VINCENT'S EAST,AL,READM-30-HF-HRRP,1.0439,20.3295,19.474,63,0.8555,Above National
ST. VINCENT'S EAST,AL,READM-30-CABG-HRRP,1.1146,11.9953,10.7622,12,1.2331,Above National
DEKALB REGIONAL MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0505,19.7116,18.7646,20,0.947,Above National
DEKALB REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9685,13.8098,14.2595,20,-0.4497,At/Below National
SHELBY BAPTIST MEDICAL CENTER,AL,READM-30-PN-HRRP,1.0434,17.3446,16.6237,40,0.7209,Above National
SHELBY BAPTIST MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0005,20.5099,20.5005,47,0.0094,Above National
SHELBY BAPTIST MEDICAL CENTER,AL,READM-30-AMI-HRRP,1.0186,14.4337,14.1707,12,0.263,Above National
HELEN KELLER HOSPITAL,AL,READM-30-HF-HRRP,0.9294,17.7522,19.1001,40,-1.3479,At/Below National
HELEN KELLER HOSPITAL,AL,READM-30-COPD-HRRP,1.0188,17.2095,16.8912,29,0.3183,Above National
HELEN KELLER HOSPITAL,AL,READM-30-PN-HRRP,1.0441,15.3127,14.6665,39,0.6462,Above National
DALE MEDICAL CENTER,AL,READM-30-PN-HRRP,1.058,15.7295,14.8668,14,0.8627,Above National
DALE MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0522,21.5293,20.4608,11,1.0685,Above National
BAPTIST MEDICAL CENTER SOUTH,AL,READM-30-HF-HRRP,1.038,21.0958,20.324,67,0.7718,Above National
BAPTIST MEDICAL CENTER SOUTH,AL,READM-30-PN-HRRP,1.0023,17.0171,16.9786,25,0.0385,Above National
BAPTIST MEDICAL CENTER SOUTH,AL,READM-30-COPD-HRRP,0.9825,18.7156,19.049,12,-0.3334,At/Below National
BAPTIST MEDICAL CENTER SOUTH,AL,READM-30-AMI-HRRP,1.0485,14.286,13.6247,30,0.6613,Above National
JACKSON HOSPITAL & CLINIC INC,AL,READM-30-PN-HRRP,1.0422,17.2334,16.5361,43,0.6973,Above National
JACKSON HOSPITAL & CLINIC INC,AL,READM-30-HF-HRRP,1.0036,19.3075,19.2384,63,0.0691,Above National
JACKSON HOSPITAL & CLINIC INC,AL,READM-30-COPD-HRRP,0.9693,17.6207,18.1793,12,-0.5586,At/Below National
JACKSON HOSPITAL & CLINIC INC,AL,READM-30-AMI-HRRP,0.9784,14.4231,14.7409,20,-0.3178,At/Below National
THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,READM-30-HF-HRRP,1.0648,19.9011,18.6901,40,1.211,Above National
THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,READM-30-AMI-HRRP,1.0742,11.692,10.884,11,0.808,Above National
THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,READM-30-HIP-KNEE-HRRP,0.9304,4.1957,4.5094,11,-0.3137,At/Below National
UNIVERSITY OF ALABAMA HOSPITAL,AL,READM-30-PN-HRRP,1.1073,18.0778,16.3256,73,1.7522,Above National
UNIVERSITY OF ALABAMA HOSPITAL,AL,READM-30-COPD-HRRP,0.9857,19.4171,19.6981,29,-0.281,At/Below National
UNIVERSITY OF ALABAMA HOSPITAL,AL,READM-30-CABG-HRRP,1.0866,12.5237,11.5254,47,0.9983,Above National
UNIVERSITY OF ALABAMA HOSPITAL,AL,READM-30-AMI-HRRP,1.1,15.6982,14.2709,50,1.4273,Above National
UNIVERSITY OF ALABAMA HOSPITAL,AL,READM-30-HF-HRRP,0.9451,18.8084,19.9019,123,-1.0935,At/Below National
CULLMAN REGIONAL MEDICAL CENTER,AL,READM-30-HF-HRRP,1.018,18.7366,18.4048,70,0.3318,Above National
CULLMAN REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,1.0465,15.5805,14.888,68,0.6925,Above National
